episode,global_step,sub_run_index,returns,episode_length
0,4,eval_idx00,12.0,12
0,4,eval_idx01,15.0,15
0,4,eval_idx02,17.0,17
0,4,eval_idx03,17.0,17
0,4,eval_idx04,18.0,18
0,4,eval_idx05,19.0,19
0,4,eval_idx06,19.0,19
0,4,eval_idx07,23.0,23
0,4,eval_idx08,12.0,12
0,4,eval_idx09,17.0,17
20,412,eval_idx00,11.0,11
20,412,eval_idx01,12.0,12
20,412,eval_idx02,14.0,14
20,412,eval_idx03,14.0,14
20,412,eval_idx04,14.0,14
20,412,eval_idx05,21.0,21
20,412,eval_idx06,23.0,23
20,412,eval_idx07,13.0,13
20,412,eval_idx08,27.0,27
20,412,eval_idx09,26.0,26
40,1024,eval_idx00,13.0,13
40,1024,eval_idx01,14.0,14
40,1024,eval_idx02,15.0,15
40,1024,eval_idx03,16.0,16
40,1024,eval_idx04,28.0,28
40,1024,eval_idx05,34.0,34
40,1024,eval_idx06,22.0,22
40,1024,eval_idx07,36.0,36
40,1024,eval_idx08,23.0,23
40,1024,eval_idx09,15.0,15
60,1776,eval_idx00,24.0,24
60,1776,eval_idx01,25.0,25
60,1776,eval_idx02,26.0,26
60,1776,eval_idx03,40.0,40
60,1776,eval_idx04,20.0,20
60,1776,eval_idx05,49.0,49
60,1776,eval_idx06,56.0,56
60,1776,eval_idx07,36.0,36
60,1776,eval_idx08,31.0,31
60,1776,eval_idx09,18.0,18
80,3324,eval_idx00,24.0,24
80,3324,eval_idx01,63.0,63
80,3324,eval_idx02,70.0,70
80,3324,eval_idx03,100.0,100
80,3324,eval_idx04,106.0,106
80,3324,eval_idx05,121.0,121
80,3324,eval_idx06,21.0,21
80,3324,eval_idx07,157.0,157
80,3324,eval_idx08,36.0,36
80,3324,eval_idx09,165.0,165
100,6192,eval_idx00,135.0,135
100,6192,eval_idx01,151.0,151
100,6192,eval_idx02,158.0,158
100,6192,eval_idx03,160.0,160
100,6192,eval_idx04,168.0,168
100,6192,eval_idx05,172.0,172
100,6192,eval_idx06,178.0,178
100,6192,eval_idx07,184.0,184
100,6192,eval_idx08,208.0,208
100,6192,eval_idx09,258.0,258
120,10072,eval_idx00,183.0,183
120,10072,eval_idx01,191.0,191
120,10072,eval_idx02,195.0,195
120,10072,eval_idx03,206.0,206
120,10072,eval_idx04,207.0,207
120,10072,eval_idx05,207.0,207
120,10072,eval_idx06,223.0,223
120,10072,eval_idx07,232.0,232
120,10072,eval_idx08,252.0,252
120,10072,eval_idx09,311.0,311
140,14144,eval_idx00,159.0,159
140,14144,eval_idx01,160.0,160
140,14144,eval_idx02,164.0,164
140,14144,eval_idx03,167.0,167
140,14144,eval_idx04,174.0,174
140,14144,eval_idx05,175.0,175
140,14144,eval_idx06,182.0,182
140,14144,eval_idx07,183.0,183
140,14144,eval_idx08,192.0,192
140,14144,eval_idx09,206.0,206
160,18488,eval_idx00,217.0,217
160,18488,eval_idx01,220.0,220
160,18488,eval_idx02,221.0,221
160,18488,eval_idx03,227.0,227
160,18488,eval_idx04,230.0,230
160,18488,eval_idx05,230.0,230
160,18488,eval_idx06,238.0,238
160,18488,eval_idx07,242.0,242
160,18488,eval_idx08,242.0,242
160,18488,eval_idx09,255.0,255
180,23912,eval_idx00,288.0,288
180,23912,eval_idx01,298.0,298
180,23912,eval_idx02,306.0,306
180,23912,eval_idx03,308.0,308
180,23912,eval_idx04,308.0,308
180,23912,eval_idx05,325.0,325
180,23912,eval_idx06,329.0,329
180,23912,eval_idx07,332.0,332
180,23912,eval_idx08,332.0,332
180,23912,eval_idx09,334.0,334
200,30516,eval_idx00,338.0,338
200,30516,eval_idx01,349.0,349
200,30516,eval_idx02,354.0,354
200,30516,eval_idx03,359.0,359
200,30516,eval_idx04,360.0,360
200,30516,eval_idx05,365.0,365
200,30516,eval_idx06,375.0,375
200,30516,eval_idx07,380.0,380
200,30516,eval_idx08,383.0,383
200,30516,eval_idx09,400.0,400
220,37272,eval_idx00,358.0,358
220,37272,eval_idx01,394.0,394
220,37272,eval_idx02,398.0,398
220,37272,eval_idx03,400.0,400
220,37272,eval_idx04,402.0,402
220,37272,eval_idx05,406.0,406
220,37272,eval_idx06,408.0,408
220,37272,eval_idx07,411.0,411
220,37272,eval_idx08,419.0,419
220,37272,eval_idx09,426.0,426
240,44968,eval_idx00,405.0,405
240,44968,eval_idx01,409.0,409
240,44968,eval_idx02,409.0,409
240,44968,eval_idx03,413.0,413
240,44968,eval_idx04,420.0,420
240,44968,eval_idx05,422.0,422
240,44968,eval_idx06,442.0,442
240,44968,eval_idx07,446.0,446
240,44968,eval_idx08,454.0,454
240,44968,eval_idx09,461.0,461
260,53920,eval_idx00,421.0,421
260,53920,eval_idx01,425.0,425
260,53920,eval_idx02,431.0,431
260,53920,eval_idx03,436.0,436
260,53920,eval_idx04,440.0,440
260,53920,eval_idx05,441.0,441
260,53920,eval_idx06,441.0,441
260,53920,eval_idx07,445.0,445
260,53920,eval_idx08,459.0,459
260,53920,eval_idx09,466.0,466
280,62380,eval_idx00,212.0,212
280,62380,eval_idx01,245.0,245
280,62380,eval_idx02,123.0,123
280,62380,eval_idx03,438.0,438
280,62380,eval_idx04,444.0,444
280,62380,eval_idx05,453.0,453
280,62380,eval_idx06,456.0,456
280,62380,eval_idx07,462.0,462
280,62380,eval_idx08,462.0,462
280,62380,eval_idx09,464.0,464
300,72184,eval_idx00,500.0,500
300,72184,eval_idx01,500.0,500
300,72184,eval_idx02,500.0,500
300,72184,eval_idx03,500.0,500
300,72184,eval_idx04,500.0,500
300,72184,eval_idx05,500.0,500
300,72184,eval_idx06,500.0,500
300,72184,eval_idx07,500.0,500
300,72184,eval_idx08,500.0,500
300,72184,eval_idx09,500.0,500
320,82184,eval_idx00,500.0,500
320,82184,eval_idx01,500.0,500
320,82184,eval_idx02,500.0,500
320,82184,eval_idx03,500.0,500
320,82184,eval_idx04,500.0,500
320,82184,eval_idx05,500.0,500
320,82184,eval_idx06,500.0,500
320,82184,eval_idx07,500.0,500
320,82184,eval_idx08,500.0,500
320,82184,eval_idx09,500.0,500
340,91292,eval_idx00,500.0,500
340,91292,eval_idx01,500.0,500
340,91292,eval_idx02,500.0,500
340,91292,eval_idx03,500.0,500
340,91292,eval_idx04,500.0,500
340,91292,eval_idx05,500.0,500
340,91292,eval_idx06,500.0,500
340,91292,eval_idx07,500.0,500
340,91292,eval_idx08,500.0,500
340,91292,eval_idx09,500.0,500
360,100232,eval_idx00,54.0,54
360,100232,eval_idx01,500.0,500
360,100232,eval_idx02,500.0,500
360,100232,eval_idx03,500.0,500
360,100232,eval_idx04,500.0,500
360,100232,eval_idx05,500.0,500
360,100232,eval_idx06,500.0,500
360,100232,eval_idx07,500.0,500
360,100232,eval_idx08,500.0,500
360,100232,eval_idx09,500.0,500
380,110232,eval_idx00,500.0,500
380,110232,eval_idx01,500.0,500
380,110232,eval_idx02,500.0,500
380,110232,eval_idx03,500.0,500
380,110232,eval_idx04,500.0,500
380,110232,eval_idx05,500.0,500
380,110232,eval_idx06,500.0,500
380,110232,eval_idx07,500.0,500
380,110232,eval_idx08,500.0,500
380,110232,eval_idx09,500.0,500
400,116400,eval_idx00,118.0,118
400,116400,eval_idx01,122.0,122
400,116400,eval_idx02,122.0,122
400,116400,eval_idx03,171.0,171
400,116400,eval_idx04,173.0,173
400,116400,eval_idx05,174.0,174
400,116400,eval_idx06,183.0,183
400,116400,eval_idx07,221.0,221
400,116400,eval_idx08,230.0,230
400,116400,eval_idx09,113.0,113
420,125128,eval_idx00,500.0,500
420,125128,eval_idx01,500.0,500
420,125128,eval_idx02,500.0,500
420,125128,eval_idx03,500.0,500
420,125128,eval_idx04,500.0,500
420,125128,eval_idx05,500.0,500
420,125128,eval_idx06,500.0,500
420,125128,eval_idx07,500.0,500
420,125128,eval_idx08,500.0,500
420,125128,eval_idx09,500.0,500
440,135128,eval_idx00,500.0,500
440,135128,eval_idx01,500.0,500
440,135128,eval_idx02,500.0,500
440,135128,eval_idx03,500.0,500
440,135128,eval_idx04,500.0,500
440,135128,eval_idx05,500.0,500
440,135128,eval_idx06,500.0,500
440,135128,eval_idx07,500.0,500
440,135128,eval_idx08,500.0,500
440,135128,eval_idx09,500.0,500
460,145128,eval_idx00,500.0,500
460,145128,eval_idx01,500.0,500
460,145128,eval_idx02,500.0,500
460,145128,eval_idx03,500.0,500
460,145128,eval_idx04,500.0,500
460,145128,eval_idx05,500.0,500
460,145128,eval_idx06,500.0,500
460,145128,eval_idx07,500.0,500
460,145128,eval_idx08,500.0,500
460,145128,eval_idx09,500.0,500
480,155092,eval_idx00,460.0,460
480,155092,eval_idx01,500.0,500
480,155092,eval_idx02,500.0,500
480,155092,eval_idx03,500.0,500
480,155092,eval_idx04,500.0,500
480,155092,eval_idx05,500.0,500
480,155092,eval_idx06,500.0,500
480,155092,eval_idx07,500.0,500
480,155092,eval_idx08,500.0,500
480,155092,eval_idx09,500.0,500
500,165092,eval_idx00,500.0,500
500,165092,eval_idx01,500.0,500
500,165092,eval_idx02,500.0,500
500,165092,eval_idx03,500.0,500
500,165092,eval_idx04,500.0,500
500,165092,eval_idx05,500.0,500
500,165092,eval_idx06,500.0,500
500,165092,eval_idx07,500.0,500
500,165092,eval_idx08,500.0,500
500,165092,eval_idx09,500.0,500
520,174300,eval_idx00,281.0,281
520,174300,eval_idx01,322.0,322
520,174300,eval_idx02,379.0,379
520,174300,eval_idx03,446.0,446
520,174300,eval_idx04,471.0,471
520,174300,eval_idx05,498.0,498
520,174300,eval_idx06,500.0,500
520,174300,eval_idx07,500.0,500
520,174300,eval_idx08,500.0,500
520,174300,eval_idx09,500.0,500
540,183844,eval_idx00,496.0,496
540,183844,eval_idx01,500.0,500
540,183844,eval_idx02,500.0,500
540,183844,eval_idx03,500.0,500
540,183844,eval_idx04,500.0,500
540,183844,eval_idx05,500.0,500
540,183844,eval_idx06,500.0,500
540,183844,eval_idx07,500.0,500
540,183844,eval_idx08,500.0,500
540,183844,eval_idx09,500.0,500
560,193408,eval_idx00,363.0,363
560,193408,eval_idx01,500.0,500
560,193408,eval_idx02,500.0,500
560,193408,eval_idx03,500.0,500
560,193408,eval_idx04,500.0,500
560,193408,eval_idx05,500.0,500
560,193408,eval_idx06,500.0,500
560,193408,eval_idx07,500.0,500
560,193408,eval_idx08,500.0,500
560,193408,eval_idx09,500.0,500
580,203408,eval_idx00,361.0,361
580,203408,eval_idx01,437.0,437
580,203408,eval_idx02,440.0,440
580,203408,eval_idx03,500.0,500
580,203408,eval_idx04,500.0,500
580,203408,eval_idx05,500.0,500
580,203408,eval_idx06,500.0,500
580,203408,eval_idx07,500.0,500
580,203408,eval_idx08,500.0,500
580,203408,eval_idx09,500.0,500
600,213408,eval_idx00,500.0,500
600,213408,eval_idx01,500.0,500
600,213408,eval_idx02,500.0,500
600,213408,eval_idx03,500.0,500
600,213408,eval_idx04,500.0,500
600,213408,eval_idx05,500.0,500
600,213408,eval_idx06,500.0,500
600,213408,eval_idx07,500.0,500
600,213408,eval_idx08,500.0,500
600,213408,eval_idx09,500.0,500
620,223408,eval_idx00,500.0,500
620,223408,eval_idx01,500.0,500
620,223408,eval_idx02,500.0,500
620,223408,eval_idx03,500.0,500
620,223408,eval_idx04,500.0,500
620,223408,eval_idx05,500.0,500
620,223408,eval_idx06,500.0,500
620,223408,eval_idx07,500.0,500
620,223408,eval_idx08,500.0,500
620,223408,eval_idx09,500.0,500
640,233408,eval_idx00,500.0,500
640,233408,eval_idx01,500.0,500
640,233408,eval_idx02,500.0,500
640,233408,eval_idx03,500.0,500
640,233408,eval_idx04,500.0,500
640,233408,eval_idx05,500.0,500
640,233408,eval_idx06,500.0,500
640,233408,eval_idx07,500.0,500
640,233408,eval_idx08,500.0,500
640,233408,eval_idx09,500.0,500
660,243408,eval_idx00,500.0,500
660,243408,eval_idx01,500.0,500
660,243408,eval_idx02,500.0,500
660,243408,eval_idx03,500.0,500
660,243408,eval_idx04,500.0,500
660,243408,eval_idx05,500.0,500
660,243408,eval_idx06,500.0,500
660,243408,eval_idx07,500.0,500
660,243408,eval_idx08,500.0,500
660,243408,eval_idx09,500.0,500
680,253408,eval_idx00,500.0,500
680,253408,eval_idx01,500.0,500
680,253408,eval_idx02,500.0,500
680,253408,eval_idx03,500.0,500
680,253408,eval_idx04,500.0,500
680,253408,eval_idx05,500.0,500
680,253408,eval_idx06,500.0,500
680,253408,eval_idx07,500.0,500
680,253408,eval_idx08,500.0,500
680,253408,eval_idx09,500.0,500
700,263408,eval_idx00,500.0,500
700,263408,eval_idx01,500.0,500
700,263408,eval_idx02,500.0,500
700,263408,eval_idx03,500.0,500
700,263408,eval_idx04,500.0,500
700,263408,eval_idx05,500.0,500
700,263408,eval_idx06,500.0,500
700,263408,eval_idx07,500.0,500
700,263408,eval_idx08,500.0,500
700,263408,eval_idx09,500.0,500
720,273408,eval_idx00,500.0,500
720,273408,eval_idx01,500.0,500
720,273408,eval_idx02,500.0,500
720,273408,eval_idx03,500.0,500
720,273408,eval_idx04,500.0,500
720,273408,eval_idx05,500.0,500
720,273408,eval_idx06,500.0,500
720,273408,eval_idx07,500.0,500
720,273408,eval_idx08,500.0,500
720,273408,eval_idx09,500.0,500
740,283408,eval_idx00,500.0,500
740,283408,eval_idx01,500.0,500
740,283408,eval_idx02,500.0,500
740,283408,eval_idx03,500.0,500
740,283408,eval_idx04,500.0,500
740,283408,eval_idx05,500.0,500
740,283408,eval_idx06,500.0,500
740,283408,eval_idx07,500.0,500
740,283408,eval_idx08,500.0,500
740,283408,eval_idx09,500.0,500
760,293408,eval_idx00,500.0,500
760,293408,eval_idx01,500.0,500
760,293408,eval_idx02,500.0,500
760,293408,eval_idx03,500.0,500
760,293408,eval_idx04,500.0,500
760,293408,eval_idx05,500.0,500
760,293408,eval_idx06,500.0,500
760,293408,eval_idx07,500.0,500
760,293408,eval_idx08,500.0,500
760,293408,eval_idx09,500.0,500
780,303408,eval_idx00,500.0,500
780,303408,eval_idx01,500.0,500
780,303408,eval_idx02,500.0,500
780,303408,eval_idx03,500.0,500
780,303408,eval_idx04,500.0,500
780,303408,eval_idx05,500.0,500
780,303408,eval_idx06,500.0,500
780,303408,eval_idx07,500.0,500
780,303408,eval_idx08,500.0,500
780,303408,eval_idx09,500.0,500
800,313408,eval_idx00,500.0,500
800,313408,eval_idx01,500.0,500
800,313408,eval_idx02,500.0,500
800,313408,eval_idx03,500.0,500
800,313408,eval_idx04,500.0,500
800,313408,eval_idx05,500.0,500
800,313408,eval_idx06,500.0,500
800,313408,eval_idx07,500.0,500
800,313408,eval_idx08,500.0,500
800,313408,eval_idx09,500.0,500
820,323408,eval_idx00,500.0,500
820,323408,eval_idx01,500.0,500
820,323408,eval_idx02,500.0,500
820,323408,eval_idx03,500.0,500
820,323408,eval_idx04,500.0,500
820,323408,eval_idx05,500.0,500
820,323408,eval_idx06,500.0,500
820,323408,eval_idx07,500.0,500
820,323408,eval_idx08,500.0,500
820,323408,eval_idx09,500.0,500
840,333408,eval_idx00,500.0,500
840,333408,eval_idx01,500.0,500
840,333408,eval_idx02,500.0,500
840,333408,eval_idx03,500.0,500
840,333408,eval_idx04,500.0,500
840,333408,eval_idx05,500.0,500
840,333408,eval_idx06,500.0,500
840,333408,eval_idx07,500.0,500
840,333408,eval_idx08,500.0,500
840,333408,eval_idx09,500.0,500
860,343408,eval_idx00,500.0,500
860,343408,eval_idx01,500.0,500
860,343408,eval_idx02,500.0,500
860,343408,eval_idx03,500.0,500
860,343408,eval_idx04,500.0,500
860,343408,eval_idx05,500.0,500
860,343408,eval_idx06,500.0,500
860,343408,eval_idx07,500.0,500
860,343408,eval_idx08,500.0,500
860,343408,eval_idx09,500.0,500
880,353408,eval_idx00,500.0,500
880,353408,eval_idx01,500.0,500
880,353408,eval_idx02,500.0,500
880,353408,eval_idx03,500.0,500
880,353408,eval_idx04,500.0,500
